driver,team,compound,stint_length,tyre_age,track_temp,air_temp,lap_time,track_name,degradation_rate,remaining_grip
LEC,Ferrari,HARD,76,2,49.2,21.7,84.624,Monaco,-0.06758205058099793,95.0
LEC,Ferrari,HARD,76,3,48.8,21.7,82.625,Monaco,-0.06758205058099793,95.2
LEC,Ferrari,HARD,76,4,48.2,21.6,81.795,Monaco,-0.06758205058099793,93.6
LEC,Ferrari,HARD,76,5,48.7,21.8,81.145,Monaco,-0.06758205058099793,100.0
LEC,Ferrari,HARD,76,6,48.0,21.8,80.98,Monaco,-0.06758205058099793,100.0
LEC,Ferrari,HARD,76,7,47.9,21.9,81.03,Monaco,-0.06758205058099793,100.0
LEC,Ferrari,HARD,76,8,47.4,22.1,80.114,Monaco,-0.06758205058099793,100.0
LEC,Ferrari,HARD,76,9,47.9,22.1,80.775,Monaco,-0.06758205058099793,100.0
LEC,Ferrari,HARD,76,10,47.9,22.2,81.046,Monaco,-0.06758205058099793,97.73555840821558
LEC,Ferrari,HARD,76,11,47.2,22.1,80.252,Monaco,-0.06758205058099793,100.0
LEC,Ferrari,HARD,76,12,47.1,22.0,79.017,Monaco,-0.06758205058099793,100.0
LEC,Ferrari,HARD,76,13,47.1,22.0,79.913,Monaco,-0.06758205058099793,100.0
LEC,Ferrari,HARD,76,14,46.0,22.0,79.838,Monaco,-0.06758205058099793,100.0
LEC,Ferrari,HARD,76,15,46.1,21.8,80.156,Monaco,-0.06758205058099793,100.0
LEC,Ferrari,HARD,76,16,46.7,21.6,80.279,Monaco,-0.06758205058099793,100.0
LEC,Ferrari,HARD,76,17,46.7,21.8,79.58,Monaco,-0.06758205058099793,100.0
LEC,Ferrari,HARD,76,18,46.6,21.9,78.842,Monaco,-0.06758205058099793,100.0
LEC,Ferrari,HARD,76,19,45.8,21.9,78.724,Monaco,-0.06758205058099793,100.0
LEC,Ferrari,HARD,76,20,45.9,21.8,78.472,Monaco,-0.06758205058099793,100.0
LEC,Ferrari,HARD,76,21,45.9,21.8,78.62,Monaco,-0.06758205058099793,100.0
LEC,Ferrari,HARD,76,22,46.1,21.7,78.458,Monaco,-0.06758205058099793,100.0
LEC,Ferrari,HARD,76,23,45.7,21.7,78.725,Monaco,-0.06758205058099793,100.0
LEC,Ferrari,HARD,76,24,45.7,21.7,78.973,Monaco,-0.06758205058099793,100.0
LEC,Ferrari,HARD,76,25,46.0,21.8,78.445,Monaco,-0.06758205058099793,100.0
LEC,Ferrari,HARD,76,26,46.0,21.9,78.351,Monaco,-0.06758205058099793,100.0
